日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003721,510050P2201A03200,2021-11-29,20220126,P,3.159,0.072,0.0753,0.0638,0.0652,13253,12522,9139754,10129,510050,3.182,58,0.158904,0.0255,-0.4181,1.8926,0.005,-0.0006,-0.0022,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2201,3195.8,L2
20211130,10003721,510050P2201A03200,2021-11-30,20220126,P,3.159,0.0648,0.0805,0.0585,0.0705,6776,13067,4943456,10129,510050,3.164,57,0.156164,0.0307,-0.4475,1.9618,0.0049,-0.0006,-0.0023,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2201,3175.4,L2
20211201,10003721,510050P2201A03200,2021-12-01,20220126,P,3.159,0.0731,0.0731,0.062,0.0638,6968,14978,4681460,10129,510050,3.176,56,0.153425,0.0254,-0.4281,2.0089,0.0049,-0.0006,-0.0022,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2201,3190.6,L2
20211202,10003721,510050P2201A03200,2021-12-02,20220126,P,3.159,0.0665,0.0713,0.0541,0.0572,7537,13362,4569917,10129,510050,3.188,55,0.150685,0.025,-0.4032,2.0215,0.0048,-0.0006,-0.002,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2201,3196.4,L2
20211203,10003721,510050P2201A03200,2021-12-03,20220126,P,3.159,0.0552,0.0571,0.0453,0.0453,8718,12658,4415213,10129,510050,3.215,54,0.147945,0.0261,-0.3466,1.956,0.0046,-0.0006,-0.0017,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2201,3225.2,L2
20211206,10003721,510050P2201A03200,2021-12-06,20220126,P,3.159,0.0446,0.0452,0.0349,0.04,11317,16133,4395951,10129,510050,3.225,51,0.139726,0.027,-0.3236,1.9562,0.0043,-0.0006,-0.0015,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2201,3235.8,L2
20211207,10003721,510050P2201A03200,2021-12-07,20220126,P,3.159,0.0374,0.0384,0.0322,0.0332,6570,17304,2350892,10129,510050,3.251,50,0.136986,0.027,-0.2777,1.7847,0.004,-0.0006,-0.0013,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2201,3260.2,L2
20211208,10003721,510050P2201A03200,2021-12-08,20220126,P,3.159,0.0319,0.0352,0.0233,0.0233,14535,17356,3960094,10129,510050,3.301,49,0.134247,0.0274,-0.2042,1.4358,0.0034,-0.0005,-0.0009,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2201,3316.6,L2
20211209,10003721,510050P2201A03200,2021-12-09,20220126,P,3.159,0.022,0.0234,0.014,0.0164,14521,17960,2680205,10129,510050,3.352,48,0.131507,0.0279,-0.1482,1.1102,0.0028,-0.0005,-0.0007,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2201,3367.4,L2
20211210,10003721,510050P2201A03200,2021-12-10,20220126,P,3.159,0.0172,0.0182,0.0143,0.0143,4495,15855,722314,10129,510050,3.349,47,0.128767,0.0278,-0.1391,1.1263,0.0027,-0.0004,-0.0006,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2201,3371.2,L2
