日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211008,10003633,510050P2111M02950,2021-10-08,20211124,P,2.95,0.0149,0.0149,0.007,0.0075,6098,9637,479134,10000,510050,3.295,47,0.128767,0.0248,-0.0654,0.5002,0.0015,-0.0003,-0.0003,0.1651,0.1661,0.1893,0.2077,0.1879,0.1897,0.2001,0.2044,IH2111,3259.6,L2
20211011,10003633,510050P2111M02950,2021-10-11,20211124,P,2.95,0.0068,0.0068,0.0043,0.0057,8950,13729,437352,10000,510050,3.312,44,0.120548,0.0265,-0.0527,0.432,0.0012,-0.0003,-0.0002,0.157,0.1664,0.1844,0.2063,0.188,0.1888,0.1992,0.203,IH2111,3270.8,L2
20211012,10003633,510050P2111M02950,2021-10-12,20211124,P,2.95,0.0065,0.007,0.0045,0.0051,4406,13921,253634,10000,510050,3.295,43,0.117808,0.0265,-0.0507,0.446,0.0012,-0.0003,-0.0002,0.1603,0.168,0.172,0.2064,0.188,0.1884,0.1967,0.203,IH2111,3258.0,L2
20211013,10003633,510050P2111M02950,2021-10-13,20211124,P,2.95,0.0053,0.0059,0.0039,0.0042,4027,14511,186788,10000,510050,3.327,42,0.115068,0.0249,-0.0417,0.3686,0.001,-0.0002,-0.0002,0.137,0.1672,0.1723,0.2067,0.1889,0.1888,0.1968,0.2033,IH2111,3293.8,L2
20211014,10003633,510050P2111M02950,2021-10-14,20211124,P,2.95,0.0041,0.0047,0.0036,0.0039,2546,14526,103853,10000,510050,3.306,41,0.112329,0.0247,-0.0413,0.3901,0.001,-0.0002,-0.0002,0.1479,0.1649,0.1691,0.2069,0.189,0.189,0.1957,0.1991,IH2111,3272.0,L2
20211015,10003633,510050P2111M02950,2021-10-15,20211124,P,2.95,0.0047,0.0047,0.003,0.0033,946,13354,31391,10000,510050,3.332,40,0.109589,0.0249,-0.0349,0.3303,0.0008,-0.0002,-0.0001,0.1484,0.1617,0.17,0.2052,0.1896,0.1887,0.1931,0.1991,IH2111,3301.0,L2
20211018,10003633,510050P2111M02950,2021-10-18,20211124,P,2.95,0.0037,0.0077,0.0035,0.0054,7931,14559,451598,10000,510050,3.268,37,0.10137,0.0243,-0.0561,0.5127,0.0012,-0.0003,-0.0002,0.1666,0.1766,0.1674,0.2041,0.1917,0.1906,0.1914,0.1996,IH2111,3233.2,L2
20211019,10003633,510050P2111M02950,2021-10-19,20211124,P,2.95,0.0055,0.0055,0.0029,0.0031,2365,14911,80854,10000,510050,3.291,36,0.09863,0.0273,-0.0364,0.3811,0.0008,-0.0002,-0.0001,0.1694,0.1692,0.1664,0.2037,0.1918,0.1888,0.1915,0.1998,IH2111,3253.6,L2
20211020,10003633,510050P2111M02950,2021-10-20,20211124,P,2.95,0.0036,0.0037,0.002,0.0027,2228,15181,63223,10000,510050,3.293,35,0.09589,0.0261,-0.0329,0.3584,0.0007,-0.0002,-0.0001,0.1694,0.1688,0.1658,0.2035,0.1916,0.1888,0.1872,0.1995,IH2111,3260.0,L2
20211021,10003633,510050P2111M02950,2021-10-21,20211124,P,2.95,0.0024,0.0028,0.0019,0.0021,4890,14994,116691,10000,510050,3.314,34,0.093151,0.0257,-0.0262,0.2949,0.0006,-0.0002,-0.0001,0.1668,0.1587,0.1657,0.2039,0.192,0.189,0.1864,0.1993,IH2111,3285.0,L2
20211022,10003633,510050P2111M02950,2021-10-22,20211124,P,2.95,0.0018,0.0025,0.0017,0.0018,5688,12081,116767,10000,510050,3.352,33,0.090411,0.0266,-0.0216,0.2358,0.0005,-0.0002,-0.0001,0.148,0.1532,0.1578,0.2051,0.1928,0.1897,0.1869,0.1998,IH2111,3318.2,L2
20211025,10003633,510050P2111M02950,2021-10-25,20211124,P,2.95,0.0021,0.0021,0.0016,0.0018,1953,10925,34642,10000,510050,3.35,30,0.082192,0.0255,-0.0218,0.2385,0.0005,-0.0002,-0.0001,0.1471,0.1505,0.1577,0.2051,0.1927,0.1892,0.1839,0.1994,IH2111,3317.2,L2
20211026,10003633,510050P2111M02950,2021-10-26,20211124,P,2.95,0.0021,0.0025,0.0017,0.0025,3540,11656,76609,10000,510050,3.329,29,0.079452,0.0279,-0.0289,0.2999,0.0006,-0.0002,-0.0001,0.1485,0.1512,0.1592,0.2044,0.1927,0.188,0.1841,0.1995,IH2111,3292.6,L2
20211027,10003633,510050P2111M02950,2021-10-27,20211124,P,2.95,0.003,0.0033,0.0022,0.0025,2765,11857,75242,10000,510050,3.287,28,0.076712,0.0263,-0.0316,0.3587,0.0006,-0.0002,-0.0001,0.1542,0.1509,0.1613,0.1904,0.1933,0.1888,0.1836,0.1992,IH2111,3250.0,L2
20211028,10003633,510050P2111M02950,2021-10-28,20211124,P,2.95,0.0028,0.0028,0.0014,0.0019,7550,15739,142927,10000,510050,3.286,27,0.073973,0.0276,-0.026,0.3201,0.0005,-0.0002,-0.0001,0.1516,0.1511,0.1581,0.1787,0.1921,0.1888,0.1834,0.1974,IH2111,3254.4,L1
20211029,10003633,510050P2111M02950,2021-10-29,20211124,P,2.95,0.002,0.002,0.0013,0.0015,4696,15456,71417,10000,510050,3.304,26,0.071233,0.0252,-0.021,0.2659,0.0004,-0.0002,-0.0001,0.1485,0.1506,0.1556,0.1782,0.1917,0.188,0.1835,0.1975,IH2111,3269.8,L1
20211101,10003633,510050P2111M02950,2021-11-01,20211124,P,2.95,0.0017,0.0017,0.0009,0.0011,3056,16949,36837,10000,510050,3.289,23,0.063014,0.0221,-0.0173,0.2461,0.0004,-0.0002,-0.0,0.1121,0.1382,0.156,0.1777,0.1918,0.1877,0.1835,0.1963,IH2111,3255.2,L1
20211102,10003633,510050P2111M02950,2021-11-02,20211124,P,2.95,0.0008,0.0033,0.0006,0.0025,10649,20328,250220,10000,510050,3.25,22,0.060274,0.0218,-0.0347,0.4304,0.0006,-0.0003,-0.0001,0.1215,0.145,0.1531,0.1766,0.1924,0.1878,0.181,0.1966,IH2111,3214.6,L1
