日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003548,510050P2203A03600,2021-11-29,20220323,P,3.554,0.3738,0.3904,0.368,0.3738,96,7354,366342,10129,510050,3.182,114,0.312329,0.0266,-0.8201,0.7809,0.0047,-0.0002,-0.0093,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2203,3194.8,L3
20211130,10003548,510050P2203A03600,2021-11-30,20220323,P,3.554,0.3706,0.4004,0.36,0.3866,63,7340,244051,10129,510050,3.164,113,0.309589,0.0264,-0.8427,0.7436,0.0042,-0.0001,-0.0095,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2203,3176.0,L3
20211201,10003548,510050P2203A03600,2021-12-01,20220323,P,3.554,0.3834,0.3866,0.3738,0.3738,48,7340,184656,10129,510050,3.176,112,0.306849,0.0319,-0.8227,0.7798,0.0046,-0.0001,-0.0092,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2203,3188.4,L3
20211202,10003548,510050P2203A03600,2021-12-02,20220323,P,3.554,0.377,0.3867,0.3578,0.3642,93,7340,349020,10129,510050,3.188,111,0.30411,0.0272,-0.8305,0.7939,0.0044,-0.0001,-0.0092,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2203,3200.6,L3
20211203,10003548,510050P2203A03600,2021-12-03,20220323,P,3.554,0.361,0.3648,0.3418,0.3426,41,7337,146288,10129,510050,3.215,110,0.30137,0.0278,-0.8058,0.8499,0.0049,-0.0002,-0.0088,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2203,3227.8,L3
20211206,10003548,510050P2203A03600,2021-12-06,20220323,P,3.554,0.3418,0.3418,0.3194,0.3354,74,7339,246021,10129,510050,3.225,107,0.293151,0.0267,-0.8009,0.8673,0.0049,-0.0002,-0.0086,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2203,3236.2,L3
20211207,10003548,510050P2203A03600,2021-12-07,20220323,P,3.554,0.3322,0.3322,0.3083,0.3194,53,7338,172083,10129,510050,3.251,106,0.290411,0.0351,-0.7444,0.8925,0.0056,-0.0003,-0.008,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2203,3263.2,L3
20211208,10003548,510050P2203A03600,2021-12-08,20220323,P,3.554,0.3162,0.3226,0.2791,0.2802,232,7351,692776,10129,510050,3.301,105,0.287671,0.0269,-0.7239,0.9893,0.0059,-0.0003,-0.0077,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2203,3318.4,L3
20211209,10003548,510050P2203A03600,2021-12-09,20220323,P,3.554,0.2778,0.2805,0.217,0.233,404,7421,974165,10129,510050,3.352,104,0.284932,0.0275,-0.6911,1.1312,0.0063,-0.0003,-0.0073,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2203,3370.6,L3
20211210,10003548,510050P2203A03600,2021-12-10,20220323,P,3.554,0.2362,0.2421,0.2318,0.2356,218,7459,524969,10129,510050,3.349,103,0.282192,0.0266,-0.6965,1.1272,0.0062,-0.0003,-0.0072,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2203,3379.6,L3
20211213,10003548,510050P2203A03600,2021-12-13,20220323,P,3.554,0.2328,0.2328,0.188,0.2272,420,7495,876628,10129,510050,3.354,100,0.273973,0.0286,-0.6976,1.1675,0.0061,-0.0003,-0.007,0.1037,0.126,0.1321,0.1433,0.1631,0.1784,0.1777,0.1758,IH2203,3383.0,L3
20211214,10003548,510050P2203A03600,2021-12-14,20220323,P,3.554,0.2296,0.2392,0.2232,0.2343,165,7516,383128,10129,510050,3.337,99,0.271233,0.0282,-0.7306,1.1745,0.0057,-0.0003,-0.0072,0.102,0.128,0.128,0.1403,0.1613,0.1783,0.1773,0.1732,IH2203,3373.0,L3
20211215,10003548,510050P2203A03600,2021-12-15,20220323,P,3.554,0.2392,0.2634,0.2328,0.2634,632,7885,1603918,10129,510050,3.304,98,0.268493,0.0269,-0.7607,1.0752,0.0053,-0.0003,-0.0075,0.1269,0.1313,0.1282,0.1416,0.1572,0.1787,0.1769,0.1733,IH2203,3337.6,L3
20211216,10003548,510050P2203A03600,2021-12-16,20220323,P,3.554,0.2584,0.2712,0.252,0.2528,198,7912,528187,10129,510050,3.315,97,0.265753,0.034,-0.7355,1.0989,0.0056,-0.0003,-0.0072,0.1269,0.125,0.1267,0.1377,0.1571,0.1783,0.177,0.1732,IH2203,3355.0,L3
20211217,10003548,510050P2203A03600,2021-12-17,20220323,P,3.554,0.2552,0.285,0.2501,0.2808,133,7894,367322,10129,510050,3.265,96,0.263014,0.0293,-0.8433,0.9964,0.004,-0.0001,-0.008,0.1545,0.1317,0.1345,0.1386,0.1591,0.1795,0.1776,0.1733,IH2203,3306.0,L3
20211220,10003548,510050P2203A03600,2021-12-20,20220323,P,3.554,0.2842,0.3039,0.2714,0.3002,82,7895,239752,10129,510050,3.243,93,0.254795,0.0275,-0.8743,0.8913,0.0034,-0.0,-0.008,0.1594,0.1339,0.1356,0.1387,0.1594,0.1795,0.1778,0.1735,IH2203,3287.2,L3
20211221,10003548,510050P2203A03600,2021-12-21,20220323,P,3.554,0.297,0.3004,0.281,0.2874,63,7901,184200,10129,510050,3.258,92,0.252055,0.031,-0.8453,0.9729,0.0039,-0.0001,-0.0077,0.1559,0.1342,0.136,0.1376,0.1591,0.1783,0.1774,0.1723,IH2203,3297.0,L3
20211222,10003548,510050P2203A03600,2021-12-22,20220323,P,3.554,0.2842,0.3004,0.2778,0.2951,74,7891,218231,10129,510050,3.244,91,0.249315,0.0304,-0.8854,0.8817,0.0031,0.0,-0.0079,0.1332,0.1342,0.1355,0.1353,0.1582,0.1783,0.1742,0.1723,IH2203,3284.2,L3
20211223,10003548,510050P2203A03600,2021-12-23,20220323,P,3.554,0.2906,0.3066,0.2778,0.2778,58,7899,171495,10129,510050,3.275,90,0.246575,0.0276,-0.8252,1.0219,0.0042,-0.0001,-0.0073,0.115,0.137,0.124,0.1365,0.1566,0.1785,0.1742,0.1722,IH2203,3317.4,L3
20211224,10003548,510050P2203A03600,2021-12-24,20220323,P,3.554,0.2746,0.2874,0.2678,0.281,36,7901,101404,10129,510050,3.273,89,0.243836,0.0299,-0.8142,1.0168,0.0043,-0.0002,-0.0072,0.1151,0.1322,0.1235,0.1359,0.1561,0.1784,0.1742,0.1718,IH2203,3309.2,L3
20211227,10003548,510050P2203A03600,2021-12-27,20220323,P,3.554,0.2778,0.297,0.2746,0.2842,91,7906,265085,10129,510050,3.268,86,0.235616,0.0301,-0.8256,1.0003,0.0041,-0.0001,-0.007,0.1134,0.1229,0.1236,0.1306,0.1552,0.1778,0.174,0.1713,IH2203,3317.0,L3
20211228,10003548,510050P2203A03600,2021-12-28,20220323,P,3.554,0.281,0.281,0.2618,0.265,97,7901,269031,10129,510050,3.286,85,0.232877,0.0299,-0.8264,1.067,0.0041,-0.0001,-0.0069,0.1189,0.121,0.1245,0.131,0.1554,0.1707,0.1741,0.1711,IH2203,3335.0,L3
20211229,10003548,510050P2203A03600,2021-12-29,20220323,P,3.554,0.2618,0.3144,0.2618,0.3144,193,7899,585702,10129,510050,3.225,84,0.230137,0.0284,-0.9106,0.7617,0.0025,0.0,-0.0075,0.1414,0.1403,0.1346,0.1364,0.1584,0.1727,0.1751,0.1722,IH2203,3264.4,L3
20211230,10003548,510050P2203A03600,2021-12-30,20220323,P,3.554,0.3204,0.3204,0.2874,0.2973,42,7899,126870,10129,510050,3.247,83,0.227397,0.0282,-0.8793,0.8892,0.0031,-0.0,-0.0072,0.1461,0.1415,0.1327,0.1367,0.1534,0.1729,0.1753,0.1721,IH2203,3293.2,L3
20211231,10003548,510050P2203A03600,2021-12-31,20220323,P,3.554,0.2938,0.3004,0.2842,0.2938,49,7899,145786,10129,510050,3.256,82,0.224658,0.0285,-0.85,0.9477,0.0036,-0.0001,-0.0069,0.1284,0.139,0.1284,0.1309,0.1519,0.1729,0.1671,0.172,IH2203,3293.8,L3
20220104,10003548,510050P2203A03600,2022-01-04,20220323,P,3.554,0.2972,0.3406,0.2972,0.3135,98,7908,320608,10129,510050,3.247,78,0.213699,0.0243,-0.8274,0.9123,0.0038,-0.0003,-0.0064,0.1244,0.1392,0.1287,0.1305,0.1501,0.1719,0.167,0.1712,IH2203,3277.0,L3
20220105,10003548,510050P2203A03600,2022-01-05,20220323,P,3.554,0.31,0.3228,0.2876,0.3164,63,7903,197064,10129,510050,3.241,77,0.210959,0.0269,-0.8338,0.9002,0.0037,-0.0002,-0.0064,0.1222,0.1365,0.1282,0.1302,0.1454,0.1718,0.167,0.1708,IH2203,3273.4,L3
20220106,10003548,510050P2203A03600,2022-01-06,20220323,P,3.554,0.3196,0.3604,0.3188,0.3522,41,7894,141290,10129,510050,3.193,76,0.208219,0.0243,-0.9127,0.6792,0.0023,-0.0,-0.0068,0.1408,0.1334,0.1343,0.1319,0.1469,0.1726,0.1679,0.1716,IH2203,3223.8,L3
20220107,10003548,510050P2203A03600,2022-01-07,20220323,P,3.554,0.3401,0.3466,0.3291,0.3404,20,7900,68187,10129,510050,3.207,75,0.205479,0.0275,-0.8861,0.7709,0.0028,-0.0001,-0.0065,0.1319,0.1204,0.1342,0.1317,0.1449,0.1727,0.168,0.1716,IH2203,3234.6,L3
20220110,10003548,510050P2203A03600,2022-01-10,20220323,P,3.554,0.3504,0.3504,0.326,0.3313,40,7899,134827,10129,510050,3.216,72,0.19726,0.0247,-0.9005,0.7552,0.0025,-0.0001,-0.0064,0.134,0.1216,0.1318,0.1308,0.1448,0.1714,0.1681,0.1712,IH2203,3252.0,L3
20220111,10003548,510050P2203A03600,2022-01-11,20220323,P,3.554,0.3324,0.3516,0.3196,0.3484,78,7901,265154,10129,510050,3.196,71,0.194521,0.0254,-0.9199,0.6622,0.0021,-0.0,-0.0064,0.1357,0.1217,0.1278,0.1256,0.1406,0.1688,0.168,0.1713,IH2203,3229.2,L3
