日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003373,510050C2112A03100,2021-11-29,20211222,C,3.061,0.13,0.1487,0.1247,0.1411,25858,38562,36029042,10129,510050,3.182,23,0.063014,0.0258,0.8155,1.8145,0.0021,-0.001,0.0015,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2112,3193.0,L1
20211130,10003373,510050C2112A03100,2021-11-30,20211222,C,3.061,0.1459,0.1525,0.1173,0.1261,29155,36383,39005070,10129,510050,3.164,22,0.060274,0.0269,0.784,2.0351,0.0023,-0.0011,0.0014,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2112,3172.0,L1
20211201,10003373,510050C2112A03100,2021-12-01,20211222,C,3.061,0.1309,0.14,0.1269,0.1351,21933,34905,29697151,10129,510050,3.176,21,0.057534,0.0213,0.8029,1.9009,0.0021,-0.0011,0.0014,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2112,3184.8,L1
20211202,10003373,510050C2112A03100,2021-12-02,20211222,C,3.061,0.1304,0.1512,0.1239,0.1426,27546,32360,39306316,10129,510050,3.188,20,0.054795,0.0211,0.8379,1.7752,0.0018,-0.001,0.0014,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2112,3196.0,L1
20211203,10003373,510050C2112A03100,2021-12-03,20211222,C,3.061,0.143,0.1648,0.1412,0.1637,27868,29966,43517793,10129,510050,3.215,19,0.052055,0.0221,0.8998,1.3715,0.0013,-0.0008,0.0014,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2112,3223.8,L1
20211206,10003373,510050C2112A03100,2021-12-06,20211222,C,3.061,0.17,0.1952,0.1686,0.1733,22312,27388,41259253,10129,510050,3.225,16,0.043836,0.0219,0.9017,1.2844,0.0012,-0.0009,0.0012,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2112,3233.0,L1
20211207,10003373,510050C2112A03100,2021-12-07,20211222,C,3.061,0.1859,0.2042,0.18,0.1929,16090,25077,30901300,10129,510050,3.251,15,0.041096,0.0228,0.9983,0.0797,0.0,-0.0002,0.0013,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2112,3259.6,L1
20211208,10003373,510050C2112A03100,2021-12-08,20211222,C,3.061,0.1963,0.2475,0.1879,0.2446,18159,20262,40167721,10129,510050,3.301,14,0.038356,0.0233,0.9664,0.5362,0.0005,-0.0006,0.0011,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2112,3313.2,L1
20211209,10003373,510050C2112A03100,2021-12-09,20211222,C,3.061,0.25,0.3399,0.2475,0.299,13884,16708,41886686,10129,510050,3.352,13,0.035616,0.0239,0.9395,0.5932,0.0008,-0.0011,0.001,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2112,3363.2,L1
20211210,10003373,510050C2112A03100,2021-12-10,20211222,C,3.061,0.2821,0.299,0.28,0.2894,4737,13610,13900420,10129,510050,3.349,12,0.032877,0.0227,0.9872,0.2407,0.0002,-0.0004,0.001,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2112,3363.4,L1
20211213,10003373,510050C2112A03100,2021-12-13,20211222,C,3.061,0.3159,0.366,0.2953,0.2987,6070,11806,20371406,10129,510050,3.354,9,0.024658,0.0225,0.9506,0.5372,0.0005,-0.0013,0.0007,0.1037,0.126,0.1321,0.1433,0.1631,0.1784,0.1777,0.1758,IH2112,3367.0,L1
20211214,10003373,510050C2112A03100,2021-12-14,20211222,C,3.061,0.2854,0.3013,0.2738,0.2811,2147,10281,6229230,10129,510050,3.337,8,0.021918,0.0234,0.9526,0.5607,0.0005,-0.0013,0.0006,0.102,0.128,0.128,0.1403,0.1613,0.1783,0.1773,0.1732,IH2112,3356.8,L1
