日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003382,510050P2112A03100,2021-11-29,20211222,P,3.061,0.0152,0.0174,0.0128,0.0132,66484,126039,9824085,10129,510050,3.182,23,0.063014,0.0258,-0.1728,1.8327,0.002,-0.0007,-0.0004,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2112,3193.0,L1
20211130,10003382,510050P2112A03100,2021-11-30,20211222,P,3.061,0.013,0.0189,0.0106,0.0149,51702,116873,7395989,10129,510050,3.164,22,0.060274,0.0269,-0.1979,2.0975,0.0022,-0.0008,-0.0004,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2112,3172.0,L1
20211201,10003382,510050P2112A03100,2021-12-01,20211222,P,3.061,0.0154,0.0154,0.0099,0.011,28135,118722,3479732,10129,510050,3.176,21,0.057534,0.0213,-0.1627,1.9586,0.0019,-0.0007,-0.0003,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2112,3184.8,L1
20211202,10003382,510050P2112A03100,2021-12-02,20211222,P,3.061,0.0124,0.0136,0.0072,0.008,38696,119674,3551491,10129,510050,3.188,20,0.054795,0.0211,-0.1303,1.7583,0.0016,-0.0006,-0.0002,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2112,3196.0,L1
20211203,10003382,510050P2112A03100,2021-12-03,20211222,P,3.061,0.0081,0.0081,0.0043,0.0045,50804,123310,2878829,10129,510050,3.215,19,0.052055,0.0221,-0.0825,1.2908,0.0011,-0.0005,-0.0001,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2112,3223.8,L1
20211206,10003382,510050P2112A03100,2021-12-06,20211222,P,3.061,0.0042,0.0042,0.0028,0.0036,31861,118940,1092379,10129,510050,3.225,16,0.043836,0.0219,-0.0688,1.1339,0.0009,-0.0005,-0.0001,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2112,3233.0,L1
20211207,10003382,510050P2112A03100,2021-12-07,20211222,P,3.061,0.003,0.0034,0.0021,0.0024,33062,114268,937353,10129,510050,3.251,15,0.041096,0.0228,-0.0474,0.8216,0.0007,-0.0004,-0.0001,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2112,3259.6,L1
20211208,10003382,510050P2112A03100,2021-12-08,20211222,P,3.061,0.0023,0.0027,0.0014,0.0018,32133,104497,600132,10129,510050,3.301,14,0.038356,0.0233,-0.0327,0.5278,0.0005,-0.0004,-0.0,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2112,3313.2,L1
20211209,10003382,510050P2112A03100,2021-12-09,20211222,P,3.061,0.0017,0.0019,0.0011,0.0013,31339,88557,481422,10129,510050,3.352,13,0.035616,0.0239,-0.0222,0.3424,0.0003,-0.0003,-0.0,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2112,3363.2,L1
20211210,10003382,510050P2112A03100,2021-12-10,20211222,P,3.061,0.0015,0.002,0.0007,0.0008,9774,78688,94962,10129,510050,3.349,12,0.032877,0.0227,-0.0156,0.2748,0.0002,-0.0002,-0.0,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2112,3363.4,L1
