日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003771,510050C2201M03400,2021-11-29,20220126,C,3.4,0.015,0.0201,0.015,0.0178,15497,12921,2694444,10000,510050,3.182,58,0.158904,0.0255,0.1703,1.2599,0.0032,-0.0005,0.0008,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2201,3195.8,L2
20211130,10003771,510050C2201M03400,2021-11-30,20220126,C,3.4,0.019,0.0204,0.0153,0.0157,13891,17885,2461127,10000,510050,3.164,57,0.156164,0.0307,0.1536,1.1741,0.003,-0.0005,0.0007,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2201,3175.4,L2
20211201,10003771,510050C2201M03400,2021-12-01,20220126,C,3.4,0.0156,0.0175,0.0147,0.0166,7631,20306,1240712,10000,510050,3.176,56,0.153425,0.0254,0.1616,1.2233,0.003,-0.0005,0.0008,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2201,3190.6,L2
20211202,10003771,510050C2201M03400,2021-12-02,20220126,C,3.4,0.0156,0.0182,0.0148,0.0176,12744,26013,2185736,10000,510050,3.188,55,0.150685,0.025,0.1714,1.2897,0.0031,-0.0005,0.0008,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2201,3196.4,L2
20211203,10003771,510050C2201M03400,2021-12-03,20220126,C,3.4,0.0184,0.02,0.0162,0.0199,17328,33876,3214573,10000,510050,3.215,54,0.147945,0.0261,0.1954,1.4629,0.0034,-0.0005,0.0009,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2201,3225.2,L2
20211206,10003771,510050C2201M03400,2021-12-06,20220126,C,3.4,0.0201,0.0275,0.02,0.0212,19801,40748,4640041,10000,510050,3.225,51,0.139726,0.027,0.2068,1.5276,0.0034,-0.0006,0.0009,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2201,3235.8,L2
20211207,10003771,510050C2201M03400,2021-12-07,20220126,C,3.4,0.024,0.0285,0.0218,0.0262,16823,46841,4177179,10000,510050,3.251,50,0.136986,0.027,0.2448,1.6917,0.0038,-0.0006,0.0011,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2201,3260.2,L2
20211208,10003771,510050C2201M03400,2021-12-08,20220126,C,3.4,0.0277,0.0466,0.0236,0.0448,50782,63885,19134846,10000,510050,3.301,49,0.134247,0.0274,0.3458,1.8443,0.0045,-0.0008,0.0015,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2201,3316.6,L2
20211209,10003771,510050C2201M03400,2021-12-09,20220126,C,3.4,0.0458,0.0988,0.0448,0.0707,91908,73029,67115219,10000,510050,3.352,48,0.131507,0.0279,0.4483,1.8164,0.0048,-0.001,0.0019,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2201,3367.4,L2
20211210,10003771,510050C2201M03400,2021-12-10,20220126,C,3.4,0.0653,0.0701,0.0567,0.0635,41039,71555,26465340,10000,510050,3.349,47,0.128767,0.0278,0.4364,1.9398,0.0047,-0.001,0.0018,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2201,3371.2,L2
20211213,10003771,510050C2201M03400,2021-12-13,20220126,C,3.4,0.0721,0.1082,0.0615,0.0652,80663,79204,68501677,10000,510050,3.354,44,0.120548,0.0284,0.4449,1.9503,0.0046,-0.001,0.0017,0.1037,0.126,0.1321,0.1433,0.1631,0.1784,0.1777,0.1758,IH2201,3377.4,L2
20211214,10003771,510050C2201M03400,2021-12-14,20220126,C,3.4,0.0536,0.0661,0.0508,0.0552,48970,87167,28480966,10000,510050,3.337,43,0.117808,0.0302,0.4086,2.0005,0.0044,-0.001,0.0015,0.102,0.128,0.128,0.1403,0.1613,0.1783,0.1773,0.1732,IH2201,3364.0,L2
20211215,10003771,510050C2201M03400,2021-12-15,20220126,C,3.4,0.055,0.0579,0.0396,0.0397,63360,98893,30133983,10000,510050,3.304,42,0.115068,0.0299,0.3357,1.9801,0.0041,-0.0009,0.0012,0.1269,0.1313,0.1282,0.1416,0.1572,0.1787,0.1769,0.1733,IH2201,3330.4,L2
20211216,10003771,510050C2201M03400,2021-12-16,20220126,C,3.4,0.0437,0.045,0.0377,0.0436,67256,107428,27771819,10000,510050,3.315,41,0.112329,0.0292,0.3572,2.0119,0.0041,-0.0009,0.0013,0.1269,0.125,0.1267,0.1377,0.1571,0.1783,0.177,0.1732,IH2201,3346.0,L2
20211217,10003771,510050C2201M03400,2021-12-17,20220126,C,3.4,0.0435,0.0444,0.0282,0.0286,97099,134814,33055661,10000,510050,3.265,40,0.109589,0.0298,0.2634,1.7745,0.0035,-0.0008,0.0009,0.1545,0.1317,0.1345,0.1386,0.1591,0.1795,0.1776,0.1733,IH2201,3295.6,L2
20211220,10003771,510050C2201M03400,2021-12-20,20220126,C,3.4,0.0275,0.0309,0.022,0.0231,96617,161122,24708229,10000,510050,3.243,37,0.10137,0.0312,0.2251,1.6426,0.0031,-0.0008,0.0007,0.1594,0.1339,0.1356,0.1387,0.1594,0.1795,0.1778,0.1735,IH2201,3273.0,L2
20211221,10003771,510050C2201M03400,2021-12-21,20220126,C,3.4,0.0241,0.0263,0.0224,0.0251,106505,195057,25934740,10000,510050,3.258,36,0.09863,0.0321,0.244,1.7572,0.0032,-0.0008,0.0008,0.1559,0.1342,0.136,0.1376,0.1591,0.1783,0.1774,0.1723,IH2201,3288.4,L2
20211222,10003771,510050C2201M03400,2021-12-22,20220126,C,3.4,0.028,0.028,0.0204,0.0206,94831,228448,22304320,10000,510050,3.244,35,0.09589,0.0323,0.2139,1.6778,0.0029,-0.0008,0.0006,0.1332,0.1342,0.1355,0.1353,0.1582,0.1783,0.1742,0.1723,IH2201,3274.2,L2
20211223,10003771,510050C2201M03400,2021-12-23,20220126,C,3.4,0.0211,0.024,0.0177,0.0234,127788,260587,26416049,10000,510050,3.275,34,0.093151,0.0308,0.2492,1.9649,0.0032,-0.0008,0.0007,0.115,0.137,0.124,0.1365,0.1566,0.1785,0.1742,0.1722,IH2201,3307.8,L1
20211224,10003771,510050C2201M03400,2021-12-24,20220126,C,3.4,0.0236,0.0268,0.0213,0.0213,114763,273236,27259838,10000,510050,3.273,33,0.090411,0.0296,0.2372,1.9712,0.003,-0.0008,0.0007,0.1151,0.1322,0.1235,0.1359,0.1561,0.1784,0.1742,0.1718,IH2201,3298.0,L1
20211227,10003771,510050C2201M03400,2021-12-27,20220126,C,3.4,0.0205,0.0235,0.0191,0.0209,78589,284467,16788945,10000,510050,3.268,30,0.082192,0.03,0.2307,1.9074,0.0028,-0.0009,0.0006,0.1134,0.1229,0.1236,0.1306,0.1552,0.1778,0.174,0.1713,IH2201,3304.0,L1
20211228,10003771,510050C2201M03400,2021-12-28,20220126,C,3.4,0.022,0.027,0.0216,0.026,116547,291225,27890163,10000,510050,3.286,29,0.079452,0.0307,0.2688,2.0326,0.0031,-0.001,0.0007,0.1189,0.121,0.1245,0.131,0.1554,0.1707,0.1741,0.1711,IH2201,3320.8,L1
20211229,10003771,510050C2201M03400,2021-12-29,20220126,C,3.4,0.0261,0.0268,0.015,0.0151,167472,337429,33002699,10000,510050,3.225,28,0.076712,0.0274,0.1717,1.5151,0.0023,-0.0008,0.0004,0.1414,0.1403,0.1346,0.1364,0.1584,0.1727,0.1751,0.1722,IH2201,3250.2,L1
20211230,10003771,510050C2201M03400,2021-12-30,20220126,C,3.4,0.015,0.0197,0.0142,0.0168,104210,344989,17832656,10000,510050,3.247,27,0.073973,0.0306,0.194,1.7167,0.0024,-0.0009,0.0005,0.1461,0.1415,0.1327,0.1367,0.1534,0.1729,0.1753,0.1721,IH2201,3277.0,L1
20211231,10003771,510050C2201M03400,2021-12-31,20220126,C,3.4,0.0183,0.0214,0.0174,0.0183,89722,353380,17440193,10000,510050,3.256,26,0.071233,0.0319,0.2081,1.7982,0.0025,-0.0009,0.0005,0.1284,0.139,0.1284,0.1309,0.1519,0.1729,0.1671,0.172,IH2201,3279.4,L1
20220104,10003771,510050C2201M03400,2022-01-04,20220126,C,3.4,0.0195,0.02,0.0101,0.0135,128969,372154,17289780,10000,510050,3.247,22,0.060274,0.0206,0.1717,1.6992,0.002,-0.0009,0.0003,0.1244,0.1392,0.1287,0.1305,0.1501,0.1719,0.167,0.1712,IH2201,3269.8,L1
20220105,10003771,510050C2201M03400,2022-01-05,20220126,C,3.4,0.014,0.0182,0.0116,0.0131,136389,379928,19632388,10000,510050,3.241,21,0.057534,0.0219,0.1658,1.6382,0.0019,-0.0009,0.0003,0.1222,0.1365,0.1282,0.1302,0.1454,0.1718,0.167,0.1708,IH2201,3264.0,L1
20220106,10003771,510050C2201M03400,2022-01-06,20220126,C,3.4,0.0115,0.0133,0.0071,0.0071,177097,415065,17185610,10000,510050,3.193,20,0.054795,0.0218,0.1009,1.1673,0.0013,-0.0007,0.0002,0.1408,0.1334,0.1343,0.1319,0.1469,0.1726,0.1679,0.1716,IH2201,3212.8,L1
20220107,10003771,510050C2201M03400,2022-01-07,20220126,C,3.4,0.008,0.0096,0.0064,0.0064,84979,422534,6937234,10000,510050,3.207,19,0.052055,0.0224,0.0986,1.2401,0.0013,-0.0007,0.0002,0.1319,0.1204,0.1342,0.1317,0.1449,0.1727,0.168,0.1716,IH2201,3226.8,L1
20220110,10003771,510050C2201M03400,2022-01-10,20220126,C,3.4,0.0069,0.0079,0.0057,0.0069,60167,427331,4140598,10000,510050,3.216,16,0.043836,0.0214,0.1059,1.321,0.0012,-0.0008,0.0001,0.134,0.1216,0.1318,0.1308,0.1448,0.1714,0.1681,0.1712,IH2201,3238.4,L1
20220111,10003771,510050C2201M03400,2022-01-11,20220126,C,3.4,0.0069,0.0078,0.0043,0.0046,78896,421931,4653756,10000,510050,3.196,15,0.041096,0.0216,0.0771,1.0724,0.0009,-0.0007,0.0001,0.1357,0.1217,0.1278,0.1256,0.1406,0.1688,0.168,0.1713,IH2201,3217.2,L1
